"WHO Reference Number","INN, Dosage Form and Strength","Product Type","Therapeutic Area",Applicant,"Dosage Form","Basis of Listing","Basis of alternative listing","Date of Prequalification"
TB402,"Rifapentine Tablet, Dispersible 150mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Dispersible","Prequalification - Full",,"21  Nov,  2024"
TB403,"Pretomanid Tablet 200mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd",Tablet,"Prequalification - Full",,"9  Sep,  2025"
TB405,"Isoniazid Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"S Kant Healthcare Ltd.","Tablet, Dispersible","Prequalification - Full",,"17  Apr,  2024"
TB406,"Ethambutol hydrochloride Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Cadila Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"21  Nov,  2024"
TB407,"Isoniazid Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Cadila Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"21  Nov,  2024"
TB408,"Bedaquiline (fumarate) Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"Mylan Laboratories Ltd.",Tablet,"Prequalification - Full",,"23  Mar,  2026"
TB409,"Linezolid Tablet, Dispersible 150mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Dispersible","Prequalification - Full",,"5  Jul,  2025"
TB410,"Isoniazid Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Dispersible","Prequalification - Full",,"23  Mar,  2026"
TB411,"Ethambutol hydrochloride Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Dispersible","Prequalification - Full",,"14  Mar,  2025"
TB412,"Rifapentine Tablet, Dispersible 150mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"5  Jul,  2025"
TB413,"Pyridoxine hydrochloride Tablet 10mg","Finished Pharmaceutical Product",Tuberculosis,"S Kant Healthcare Ltd.",Tablet,"Prequalification - Full",,"13  Mar,  2025"
TB416,"Cycloserine Capsules, hard 250mg","Finished Pharmaceutical Product",Tuberculosis,"Strides Pharma Science Limited","Capsules, hard","Prequalification - Full",,"17  Sep,  2025"
TD001,"Nicotine resinate (polacrilex) 20% Medicated chewing gum 2mg","Finished Pharmaceutical Product","Disorders caused by tobacco use","McNeil Sweden AB","Medicated chewing gum","Prequalification - Abridged",,"4  Apr,  2024"
TD002,"Nicotine resinate (polacrilex) 20% Medicated chewing gum 4mg","Finished Pharmaceutical Product","Disorders caused by tobacco use","McNeil Sweden AB","Medicated chewing gum","Prequalification - Abridged",,"4  Apr,  2024"
TD003,"Nicotine Patch 10mg/16 hours","Finished Pharmaceutical Product","Disorders caused by tobacco use","McNeil Sweden AB",Patch,"Prequalification - Abridged",,"4  Apr,  2024"
TD004,"Nicotine Patch 15mg/16 hours","Finished Pharmaceutical Product","Disorders caused by tobacco use","McNeil Sweden AB",Patch,"Prequalification - Abridged",,"4  Apr,  2024"
TD005,"Nicotine Patch 25mg/16 hours","Finished Pharmaceutical Product","Disorders caused by tobacco use","McNeil Sweden AB",Patch,"Prequalification - Abridged",,"4  Apr,  2024"
